cleaned_comment,translate
"kalo pak guru gembol kata bahwa dpr dan perintah komplot dengan koruptor itu tdk salah karna bukti skr koruptor makin tumbuh subur tdk bisa lenyapkenapa itu mungkin juga bnyk orang2 dpr dan perintah sama2 laku korupsi sehingga takut bongkar apabila perintah membrantas para koruptormakanya rakyat bnyk yg kata meski ganti2 pimpin gk bisa membrantas para koruptor selagi tetap seperti ini","kan id ke en:kan id ke en:kan id ke en:kan"
"kalau hukum ssh belienaknya bubar aj negeri krn ssh rusak jabat kroni2 nya hukum mati miskin","terjemahkan id ke en:kan id ke en:kan id ke en:"
"lnp memjabat 50 dgm kaya triliuqnan pantasayo kpk polisi selidik kwkayaannya","terjemahkan id ke en: lnp memjabat 50 dgm kaya terjemahkan"
"kata gusdur brkaren tikunya sdh kuasa lumbung lumbunnya harus bakar biar tikus mati","terjemahkan id ke en:kan id ke en:kan id ke en:"
"klo korupsi susah dberantas krna smua jdi jabat bayar nguluarin duit","terjemahkan id ke en: terjemahkan id ke en:kankan"
"ya kmaren2 bpk presiden seblumnya jg d nobat presiden korup lah jdi sangka pk hasto","terjemahkan id ke en:kan id ke en:kan id ke en:"
"oknum tegak hukum didik patuh oligarki pangkat cukong biaya ratus juta miliar rupiah aparat duit segitu kalo duit segitu usaha aparat biacara sistem pimpin institusi tegak hukum pilih tuju jalan tugas pimpin tuan media jalan fungsi kontrol media mainstream script berita antah antah negri merdekahanya retorika harap","terjemahkan id ke en:kan id ke en:kan id ke en:"
"pak machfud jelas2 org percaya utk benah hukum indonesia tp pilih pdhl adlh sempat disia2kan bangsa bansos joget gemoi","terjemahkan id ke en: pak machfud terjemahkan id ke en"
"indonesia lanjut hindia belanda ubah nama negara nya aja warna kulit brdpr humas nya istana","terjemahkan id ke en: indonesia lanjut hindia terjemahkan id ke en"
"orang pintar ngerti orang ngerti pinter","pintar pintar pintar pintar pintar pintar pintar pintar pintar pintar pintar pintar pintar pintar pintar pintar pintar pintar"
"gasssa guru gembul","agus agus agus agus terjemahkan id ke en"
"ujung tanduk lapasalias menkumham","terjemahkan id ke en: ujung tanduk lapasalias menkumham terjemahkan"
"lud koropsi","koropsi koropsi koropsi koropsi koropsi koro"
"ruu ampas aset miskin cepat sah","terjemahkan id ke en: ruu ampas terjemahkan id ke en"
"kalau maju baikjika korupsi mari sama2 rang korupsitidak uu baikbanyak koruptor main uu orang2 pintarkalo korupsi mari fokus korupsi uunya sasar","terjemahkan id ke en: kalau maju baikkan id ke en:kan id"
"buat guru gembul terhormatjikapun ampas aset dampak baiksekarang mata uang kriptobit coin bebas infestasi libat bank transaksijadi mudah sembunyi asetsebenarnya lembaga instansi badan layan tinggi pakai duniahanya bangsa mengisimengoreksimenjagamelindungi benar2 aktif produktif transparanjustru undang2 imbang sdm sdamalah kompetisi orang2 pintargairah performa jalanoleh segenap bangsa ajar maju imbang prospek resikotrimakasih","id ke en: buat guru gembul terhormat id ke en: buat guru gembul terhormat"
"uu sarang krptr","terjemahkan id ke en: uu sarang krptrtr terjemahkan id"
"dengerin tu luhut buka kuping otak bilang gelap ngerti dasar koplak","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"betul banget kalau koruptor hukum mati cari orang ganti","terjemahkan id ke en:kan id ke en:kan id ke en:"
"jelas dpr org bodoh jg bs mikir","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"kenapa dpr ga men sah kan uu miskin koruptorbrbrmungkin dpr gusar niat korupsi korupsi kalo sah ya aja bikin jebak nahloh brkalo niat korupsi korupsi takut","terjemahkan id ke en: terjemahkan id ke en:kan id ke en"
"asli gelap kan","kan? kan? kan? kan? terjemahkan id"
"di indonesia apa kuasa org kaya uang","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"nan","terjemahkan id ke en: nanangangangkan id ke en:"
"luhut otak peka demontrasi mahasiswa udah jokowi byk dosa rakyat mending opung maen ama cucu","aja sih aja sih aja aja"
"dia miskin susah krna purnawirawan tni angkat jdi tri puluh thun nikmat apbn pasu cina bondong bondongmasuk indonesia","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"jangan","terjemahkan id ke en: jangan jangan terjemahkan id ke en: jangan"
"mana uang transfer pendi sambo 999999999999 atau 100 trilun 1000 joshua simanjuntak korban bunuh ferdi sambo"," terjemahkan id ke en:kankan id ke en:kan"
"dprbagian koroptornga bikin undang2 peranpasan haset dprcalon huni nerakasering nyogot me nyogot","terjemahkan id ke en: dprbagian koroptornga bikin undang2 peran"
"lbp jokowi pdip partai koalisi nya usak bangsa indonesiadisuruh perpu ampas aset negara dprmalah menolakyang lemah kpk suruh pdip partai koalisi nya terima sogo 3000 juta dolar itu nyanyi hasto tahan kpkini kotor nya dpr partai dukung nya","kan id ke en: lbp jokowikan id ke en: lbp jo"
"betul pandang hukum koruptor jabat kasus silat dn lepas tapi utuh bangsa karna lampau tancap biar pk prabowo lembar terap depan maju bangsa","terjemahkan id ke en:kan terjemahkan id ke en:kan"
"bubar aja dpr gk adamanaatnya","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"uda dr smua iblis sumpah fi langgar","aja aja terjemahkan id ke en: terjemahkan"
"udah gk percaya dpr tai","tai terjemahkan id ke en: terjemahkan id ke en:"
"tidak dpr bahas sah uud korupsi ampas aset dpr kuasa 9 nagaitu poin boss","terjemahkan id ke en: tidakkan id ke en: tidakkan id ke"
"bapak presiden hormat prabowo dpr selesai uu ampas asset koruptor tolong keluar perpu ampas asset koruptor","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"ya ngomong aja ayuh kera rakyat orang ngga senjata rakyat ya pake kampak arit kudi parang koh pusing aja bosen rakyat","terjemahkan id ke en:kan id ke en:kan id ke en:"
"korupsi dsn rus rus rus miskin","rus rus miskin rus miskin miskin rus miskin rus miskin miskin"
"hati gelap","(hati gelap) hati gelap  hati gelap hati gelap  hati gelapkan"
"orang orang belakang","orang belakang belakang orang orang belakang belakang orang orang belakang belakang orang orang belakang belakang orang belakang belakang"
"wujud efek domino","aja................"
"sdh rahasia jabat negri smua sdh gelap mata inda hati prbwo blg indnsia th 30 smg allah turun tangan negri amin ya alloh","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"rana dpr ketua2 sendikit nya kumpul","nya nya kumpul nya kumpul nya nya kumpul"
"wes indonesia hati2","terjemahkan id ke en: wes indonesia hati2 hati2 hati2 hati"
"bubarin dpr hukum mati koruptor masalah indonesia beres","indonesia beres indonesia beres indonesia beres indonesia beres indonesia beres"
"dpr dan kuasa penghianat negara ini partjaya sadja saya rkyt aslisukunegara","terjemahkan id ke en: dpr dan kuasa penghianat negara ininegara"
"bubarin dpr taman kanak kanak gusdur udah suruh bubarin","terjemahkan id ke en: bubarin dpr taman kanak kanak gusdur "
"tidakterbantahkan kataitu luhut p sumber kedjahatan di negara djokowiluhut penghianat negara","djokowiluhut djokowiluhut djokowiluhut "
"guru gembul pikir kalo ttg harvey","(diagram) terjemahkan id ke en: guru gembul "
"moga segenap anak2 ku mahasiswa selamat meprjuang rakyat negara cinta amin","amin terjemahkan id ke en: terjemahkan id ke en:"
"jadi gelap ya",":)))))))))))))))))"
"gembul jd gelap yaaa",":)))))))))))))))))"
"jadi pimpin gak mau kritik suruh pindah ke korea utara","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"rakyat gak butuh makan gratis mau hdp bahagia dan sejahtera","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"bukan ngga udah bilang bambang pacul bos2 partai nolak klo bos2 partai bilang ok ya laku ada rekam","terjemahkan id ke en:kan id ke en:kan id ke en:"
"orang dpr ngerti kali ampas aset tolong ajarin gembul tetang maaf ya","terjemahkan id ke en: orang dpr ngerti terjemahkan id ke"
"mantap","  terjemahkan id ke en: mantap"
"pokok hidup indonesis enak nyaman uang tau uang pokok aman kecuali orangquotmiskin rakyat kasihan"," terjemahkan id ke en:kan id ke en:kan id ke"
"yg pentinng sana sama brngabissibn anggara brpesraa du ataas sengsara raktatnyaa","terjemahkan id ke en:  terjemahkan id ke en: "
"pas miskin uang udah pindah crypto","terjemahkan id ke en: terjemahkan id ke en:   "
"benar","terjemahkan id ke en: benar benar benar benar benar benar benar benar benar benar"
"negri konaha penuh sandiwara koruptor nya","nya nya terjemahkan id ke en: nya nya "
"anggautanya koruptor sih sah uu ampas aset","terjemahkan id ke en: anggautanya terjemahkan id ke en"
"negri milik golonganmilik kritik penyeimbangsuara rakyat","terjemahkan id ke en: terjemahkan id ke en: rakyat rakyat"
"dpr sarang koruptor dan si setir mulyono sang final occrp","terjemahkan id ke en: dpr terjemahkan id ke en: dpr"
"babi gembul beda","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"orang korupsi dukung jabat jabat kartu as atas kartu as jabat kartu as atas ujung quot aman quot","terjemahkan id ke en: orang korupsi dukung orang korupsi dukung orang korupsi dukung"
"si lbp terang benderang indonesia gelap wakil kaum miskin mahasiswa daya beli masyarakat rendah si lbp rasa meteka kaum kaya raya duli sulit masyarajat","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"smg jd melek info","info info info info info info info info"
"jahat institusi tegak adil negri negara antah brantahseorang jaksa negri hidup gemilang harta","terjemahkan id ke en: jahat institusi tegak adil kan id ke en: jahat"
"korupsi dpr wkwkwkw",""
"dpr biken undsng2 sifat guna golong ya cepat selesai coba biken undang 2 kuruptor ygisinya kuruptor haros dimikenkan cepat selesai","kan id ke en: dpr biken undsng2kan id ke en:"
"dpr keluar ruu ampas aset orang orang dpr koropsi jamaah","dpr keluar ruu ampas aset orang orang dpr keluar ruu ampas"
"indonesian peringkat korupsi no 99 dunia singapura no 3","no 1 dunia singapura no 3 dunia singapura no 3 dunia singapura no 3 "
"kita bubar aja dah negara buat negara hukum","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"gayus tambun aja bukti klau napi kelas kakap masuk lapas mudah mau bantah fakta","terjemahkan id ke en: gayus tambun aja terjemahkan id"
"guru gembul kupas danantara","terjemahkan id ke en: guru gembul kupas danantara terjemahkan id ke"
"gak pprotes si luhut luhut klo ngomong arogan saenak wudelnya","terjemahkan id ke en:kan id ke en:kan id ke en:"
"lbppenjahat konoha","terjemahkan id ke en: lbppenjahataaa "
"duniawi rasa hidup mati paham rasa masa hidup berfufufafa mati takut hati","hidup hidup hidup hidup hidup hidup hidup hidup hidup hidup hidup hidup hidup hidup hidup hidup hidup hidup"
"halo gugem terimakasih edukasi masyarakat indonesia ttg hiruk pikuk politik indonesia moga gugem ttap sehat","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"judol bakingnya polisi mknya g bs tuntas judi","terjemahkan id ke en: judol bakingnya terjemahkan id ke en"
"luhut anak jokowi hati hati","jokowi jokowi jokowi jokowi jokowi"
"indinesia blom gelap meredupluhut msh bela slhhkm negara indo nesia sdh bobrok sdh td bs percaya sekalihkm nya sintoloyopemerintah sdh bs percaya","terjemahkan id ke en: indinesia terjemahkan id ke en: indinesia"
"simple bro hukum konoha beli pesan tegak hukum nya mental uang","terjemahkan id ke en: simple brokan terjemahkan id ke en"
"lebih partai2 politik ringkas bikin ribut korus juntrung rebut jatah rebut kuasa toh negara hetrogen ltr blkng ideologi politik suku2 ras bermasalahbrcoba spti china amerika butuh parpol fokus maju negara","terjemahkan id ke en: lebihkan id ke en: lebihkan id ke"
"yang anggap hukum indonesia bagus adil orang isi otak kotor","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"lama pemrintah suka tipu mundur belakang contoh tipu data indikator ekonomi dilebih2kan olah bagus buruk bos puas rakyat tenangbrsilent killer negara radikal radikul kebijaka amburadul antisipasi 10 2030 40thn berikutnyammg visi brkalau rumah terang benderang luar mendung gelap hujan banjir","id ke en:kan id ke en:kan id ke en:kan id"
"dpr pas dapet minta uu sah miskin koruptor bilek kalo sah ikut miskin brbrawkwk sah sampe","id ke en: dprkan id ke en: dprkan id ke en"
"pagar laut kades penjarawkkwkww","wkkwkwkwkwkwkwkwkwww"
"ganti aja dpr instansi ganti dppdewan wakil pejabatpemerintah dpk dewan wakil koruptor","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"sekarang dpr melempem pagarlaut dpr awal dalang pidana gejala dilokalisir kait aguan polisi ogah selidik tindak pidana pagar laut menteri atr batal cabut shgb palsu milik aguan","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"indonesian people if they look at their government are exactly the same as watching football not participating in the game but are better than the players well thats why they dont see that this country is currently in a difficult situation because why is the population so high in the past rhoma irama said 135 million in his song it was already difficult let alone now that we have doubled it thats not realizing so indonesians have to introspect and continue to improve themselves so even though they have great potential for natural resources if the workforce cant utilize it its just potential only potential that cant be utilized thats what we have to introspect on but thats always like watching football please remember that okay","id ke en: terjemahkan id ke en: terjemahkan id ke en: "
"btl isi nya orang orang munafik","(a)  terjemahkan id ke en: btl terjemahkan"
"ia asa luhut kecewa aparat negara menteri juang bangsa negara eh demo tau juntrung perintah brapa presiden bu mega mundur acakadut karu karuan negara mahadewa muda","terjemahkan id ke en: ia asa luhut kecewa aparat negara menteri juang bangsa"
"belum mari baik negara bela negara oligarkipemimpin zholimkoruptorlondo2 ireng sengsara rakyat","terjemahkan id ke en: belum terjemahkan id ke en: belum "
"udh bhs puan pdip uu miskin koruptor tp dpip cm 16 bs tampa dukung lai","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"benar gelap sebab demo nama islam hti fpi balawi ulama terkintaminasi fatwa daripara balawi alhirnya pabrik pabrik raksasa kerja ribu duduk indonesia pilih hengkang nkri pindah thailan laos vietnam myanmar masuk pabrik cina indonesia pabrik tenaga kerja ratus orang gaji bawah umr jam kejanya jam mati paksa terima lapang kerja brbr jadi salah sungguh mabok agama kuat si bincel retno marsudi dan yusuf kala serta joko wi dan din samsudin duta teroris hamas nkri brbr jadi gelap tanggung oknum ormas atas","id ke en: benar gelap sebab demoterjemahkan id ke en: benar gelap sebab demo"
"sy dkung pak luhut sy h turmuzi lombok 1000 000 000 kerja halla ada di negri ini ini pakta","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"pak luhut tni tegak benar mumpung sisa umur bangsa negara",". terjemahkan id ke en: pak luhut tni tegak benar benar benar benar tegak"
"luhut hukum yng mbelani orang salah jokowi seret prabowo nggak bs kotor","ahok ahok ahok ahok ahok ahok "
"suipp bocor terusss","aja  terjemahkan id ke en: suippsss"
"bukan rakyat gelat luhut gelat ternak molyono","terjemahkan id ke en: bukan rakyat gelat luhut gelat luhut gelat"
"si luhut mmg sllu bgtu","..................."
"ini gembul","ini gembul ini gembul terjemahkan id ke en: ini gembul"
"kalau brmacam gin ya rusak bro gelap","terjemahkan id ke en:"
"luhut orang penghianat nkridia gadai jual nkri isi china jokowi","terjemahkan id ke en: luhut orang penghianat nkridia"
"nah langkah guru gembul sdh konten2 non agama","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"susah pakkorupsi dah merajaleladan kayak dah berani tega adil","terjemahkan id ke en: susah pak terjemahkan id ke en: susah pak"
"azeng beking perintah tni tekan pernainan catur","terjemahkan id ke en: azeng beking terjemahkan id ke en:"
"yang bikin gaduh luhut jokowi hina rakyat nya 2 diri negara indonesia","ahok ahok ahok ahok ahok ahok"
"anggota dprnya jg bagi dr hasil korupsi dpr orang korupsi","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"sejak 2015 pak jokowi layang draft uu ampas aset tapi sampe skrg gak di respon dprayobdi bahas lebih dalam guru","terjemahkan id ke en:kankankan id ke en:kan"
"anggota dpr nyabanya indoknyakorosi hu maharai luarbiasa","terjemahkan id ke en: terjemahkan id ke en:  "
"pak guru luhut quotkauquot kasar dengar","quot quot quot quot quot quot "
"dpr wakil rakya wakil mafia wakil uang","wakil rakyat wakil rakyat wakil rakyat wakil rakyat wakil rakyat wakil rakyat wakil rakyat wakil rakyat wakil rakyat wakil"
"semua lupa pak gugem jempol deh","terjemahkan id ke en:"
"mantap bos siapmendukung program kapansaja lanjuttrussssss","ssssssssssssssssssssssssssssssssssssss"
"tega hukum guru rekayasa karna klu jadi alat politik kasihan pengusaha2 koruptor rampas kaya jelas2 koruptor lenggang bebas tega hukum adil baik kualitas jaksa adil","terjemahkan id ke en: terjemahkan id ke en:kan id ke en"
"ayo udah ter buka aib nya udah disebutken ngeles sekrng harap prabowo presiden ambil tindak bukti udh terang benderang nggak jauh2 udh depan mata mulia serius kesa ngomong doang alias omon2 jaga wibawa sedih wibawa bpk sot merosotc","id ke en:kan id ke en:kan id ke en:kan id"
"to save adare45ma href"," terjemahkan id ke en: to save   "
"sita harta pluhut panjahitan dpr salur rakyat miskin","miskin terjemahkan id ke en: sita harta  miskin terjemahkan id"
"hati2 ah pak gugem bahas pinggir jurang terus mending bahas tentang alam semesta seperti biasa","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"mungkin tepat perintah","terjemahkan id ke en: mungkin tepat perintahkan id ke en:kan id"
"bayang sih baraya klo karuptor miskin kasih jabat tukang sapu jalan gaji hari kasih mes keluargnya seru sih baraya","terjemahkan id ke en:kan id ke en:kan id ke en:"
"kalauluhutbinsarpanjaitantidakbisadisalahkanataspatuhnyaluhutbinsarpanjaitantakutsamapresidanmakanyaluhutmembelahjokowi","terjemahkan id ke en: kalauluhut terjemahkan id ke en: kala"
"mahasiswa gelap tk uang tp maksa kuliah indonesia baik2 sj","terjemahkan id ke en: mahasiswa gelap terjemahkan id ke en: mahasiswa gelap"
"dpr takut ahok","ahok ahok ahok ahok ahok"
"haru berani lg bul semangat baraya","aja bul semangat barayayayaya terjemahkan id ke en"
"daridulu udh tuh dpr bubar gusdur kalo level presiden aja bs perpu ya tunggu aja mana revolusi indonesia sejarah pahlawan baru","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"luhut gila jabat umur suda tua bicara kadung nada preman","terjemahkan id ke en: luhut gila jabat umur tua bicara kadung nada preman"
"opung bedebahsi jilat","jilat jilat jilat jilat jilat ji"
"mungkin tepat perintah dpr lembaga hukum mufakat","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"kalau lapas nonton doctor pisoner gambar maksud guru gembul","terjemahkan id ke en:kan id ke en:kan id ke en:"
"dewan rampok rakyatbrdewan tipu rakyatbrdpr","tipu rakyatbrdpr tipu rakyatbrdpr tipu rakyat terjemahkan id"
"hidup jokowiluhutbahlulndasmubrpresiden omon omonbrfufufafandaslubrperusak negeri dan suka memiskikan masyarakathancur negeei ini gegara jokowi dan cino ireng","id ke en: hidup jokowiluhutbahlulndasmubrpresiden jokow"
"kine master","terjemahkan id ke en: kine master terjemahkan id ke en: k"
"memang otak sdh gelaphanya pamer aksi spy terang","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"sya takut gugem pendek umur","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"presiden kalo keliling orang indonesia gini2 buruk","terjemahkan id ke en: id terjemahkan id ke en: id "
"saya tuju klu koruptor miskinkanrampas aset"," terjemahkan id ke en: terjemahkan id ke en: "
"dengarin tu presiden hukum indonesia buruk","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"mantap","  terjemahkan id ke en: mantap"
"maka nya mahasiswa demo nya dpr harus nya ajak masyarakat demo dpr tuntut dpr bikin undang2 ampas aset gubarkan dpr","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"si opung arogan bicara dia kroni keruk indonesia imbas masyarakat menderitabrbrdpr perintah isi koruptor bahkan level yudikatif koruptor jadi heran ruu ampas aset uu pantas oknum penghianat bangsabrbrrakyat sengaja maju sibuk perut sehingga rakyat takut suara kalau rakyat cerdas sejahtera habis koruptor","kan id ke en:kan id ke en:kan id ke en:kan"
"gelap demo demo bayar mata duwitan matane merem ya mesti gela tu","terjemahkan id ke en: gelap demo demo demo demo demo demo demo demo demo demo demo"
"indonesia gelap 98brbrindonesia2028","indonesia gelap indonesia gelap indonesia gelap indonesia gelap indonesia gelap indonesia gelapindonesia gelap indonesia gelap indonesia gelap"
"kenapa bahas ruu","terjemahkan id ke en: kenapa bahas ruuuuuu"
"jangan lawan kuasa empunya negara","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"anggap dpr maling milih yg rela sogok angkat bukankah masyarakat maka heran ad anggap pimpin cermin dr rakyat","terjemahkan id ke en:kan id ke en:kan id ke en:"
"saya dapat guru gembul ampas aset miskin koruptor koruptor bayar tugas sogok tugas","ampas aset miskin koruptor terjemahkan id ke en: terjemahkan"
"karena dpr dewan wakil rakyat dewan penghianat rakyat","rakyat dewan wakil rakyat dewan penghianat rakyat dewan penghianat rakyat dewan penghi"
"hidup koruptor","terjemahkan id ke en: hidup koruptortor terjemahkan id ke en:"
"udah masyarakat satu musuh kuasa kaya alam orang asingnegara jabat preman","terjemahkan id ke en: udah terjemahkan id ke en: udah "
"tuju koruptor miskin buang hutan biar g korupsi indonesia","terjemahkan id ke en: tuju terjemahkan id ke en: tuju"
"guru dpr takut ruu ampas aset takut jebak sistem perintah negara jebak biaya kampanye mahal modal biaya proyek kembalianya biaya tanggung anggar nota2 palsu takut situ kali ya apa alasanya ubah aja keras biasa","terjemahkan id ke en: guru dprkan id ke en: guru dpr"
"bajing 2 kurupsi hukumanya hukum mati orang korupsi pikir 2","2 2 terjemahkan id ke en: bajing 2 terjemahkan id ke"
"gus dur dpr bubar kelompok anak tksaking hormat sidang dpr tinggal tidur lumbung tikus","terjemahkan id ke en: gus durkan id ke en: gus"
"dpr bobrok","terjemahkan id ke en: dpr bobrok terjemahkan id ke en"
"guru gembul stasiun tv jurnalis jujur awal hukum koruptor","tv tv tv tv tv tv tv tv tv"
"tuju indonesia emasterus kritik bangun perintah negara cinta guru","terjemahkan id ke en: tuju indonesiakan id ke en: tuju indonesia"
"viralkan koruptortempelkan foto ana biar masyarakat update tahusehingga anda koruptor benas masuk penjara mudah kenal diviralkan","kan koruptorkan koruptorkan koruptorkan koruptorkan"
"wanjirrr master","gan..............."
"semangat pk guru","terjemahkan id ke en: semangat pk guru guru guru guru terjemahkan id ke"
"hukum mati ganti guru ya jga ampas aset tinggal manipulasi asetnyabribarat hp iphone ilegal sita polri pas musnah gilasbakar barang nya hp jadul","terjemahkan id ke en: hukum mati ganti guru yakan id ke en: hukum"
"wadu guru gembul berani ya apa","terjemahkan id ke en: wadu guru gembul terjemahkan id ke en"
"ya iya p luhut grlap hartanys 1 triliun","a iya iya iya iya iya iya iya iya "
"dpr bahas ruu ampas aset uu jerat","dpr terjemahkan id ke en: dpr bahas dpr"
"indonesia potong kue gerogot bahkan remahremahnya giur indonesia rancang rupa masyarakat pintar apatis entah bodoh agama alir anehaneh bodoh mistis media sosial isi didik publik figur pamer harta pikir kurikulum sekolah ubah ganti tri saya terima kasih guru gembul sabar didik banga sehat salam baraya","id ke en: indonesia potong kue gerogotkan id ke en: indonesia potong kue"
"maha sewa sadar pensiun puluh abdi nkri mana dana pensiun kumpul bjlan bulan puluh uang pensiun tutup biaya hidup pensiun bulan uang pensiun terima gus sistem fully funded berita terima dana pensiun salah kelola asuransi serta antekanteknya korupsi berkoarkoar tanggung perintah pengaruh uang negara uang uang milik negara tabung ini maha sewa perhati anakanak bukan demo perintah halhal ganggu kerja perintah","kan id ke en: maha sewa sadarkan id ke en: maha sewa sadarkan"
"aduh negara cinta 2 korobsi besar2ran biar","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id"
"politik indonesi a sedang di tunggang bangsa asing bumi pertiwi sedang di obok obok bangsa luar kita selaku rakyat indonesia jangan mau kita di adu domba dan di jadi kambing hitam para elite politik bejad","terjemahkan id ke en:kan id ke en:kan id ke en:"
"di indonesia koruptor pelihara","terjemahkan id ke en: di indonesia terjemahkan id ke en: di indonesia"
"karena dpr koruptorbrmasa bikin uu mnjerat","terjemahkan id ke en: terjemahkan id ke en:  "
"dpr sarang aman koruptor koruptor sevis senter korupuptor polisi jaksa hakim mediator koruptor pengacara2 wartawan","kan id ke en: dprkan id ke en: dprkan id ke"
"mana dpr bahas miskin anggota mengelontor uang puluh milyar duga kembali uang jalan korupsi","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"percuma d rampas aset keroco","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"umur 18 pas pilih jokowi sampe pilih prabowo nyoblos berani ampas aset koruptor","aja sih.... terjemahkan id ke en: "
"betul guru indonesia penuh jabat munafik"," terjemahkan id ke en: terjemahkan id ke en: "
"gila","terjemahkan id ke en: gila gila terjemahkan id gila terjemahkan id"
"jangan lupa dpr sah uu ampas aset negara biar terang benderang","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id"
"jg ktmu muara uang judol yakin","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"beri peluang pak prabowo rana beliau baru pimpin negara indonesia ini demoberi tekan beliau beliau cuba mengaturcara baik nak ubah negara indonesia arah baikberi beliau peluang jgn nak indonesia gelap","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"ya gelap kuruptor dibiarin terus garong uang rakyat gelap indonesia ku","terjemahkan id ke en: ya gelap kuruptortor terjemahkan id ke"
"salam hormat mas guru gembul jangan henti berita masyarakat nyata terjadikebobrokan perintah aparat tegak hukum harap masrakat mahasiswa orang mas guru gembul sehat siaap turun","terjemahkan id ke en:kan id ke en:kan id ke en:"
"apa selamat negeri butuh","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"kalo miskin koruptorbelum modal nyalon pa ngak kunjung sah gurukarna proses pencalona anggota dpr alu mahalini barang kali sistimnya paguru robahlalu rubah ya ngak tau rakyat a href","terjemahkan id ke en: terjemahkan id ke en: kan id ke"
"uu ampas aset tida bahas dpr koruptor orang dpr partai partai paham","terjemahkan id ke en: uu ampas asetkan terjemahkan id"
"itu fakta ws","itu fakta ws itu fakta ws itu fakta ws itu fakta ws"
"waspada thd usaha utk jatuh prabowo prabowo hrs konsisten wujud ucap nya pidato beliau juang sepenuh utk penting rakyat","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"knapa dinegri gk bsa bersih dri koruptorkrn hukum bsa beli amp harta bsa bersih fitrah dosa bsa tebus baca alfatehah amplop pda doain","terjemahkan id ke en: terjemahkan id ke en:kan id ke en"
"kelas kapolsek bkn rahasia lgi jdi becking judol","aja................"
"biadab mmg mreka2",": biadaba :aa terjemahkan id ke en"
"mangkanya nyoblos","(dialog) ke en: terjemahkan id ke en: "
"salah nya kapolri hrs ganti amanah","nya. nya. nya nya. terjemahkan id ke"
"dpr the real musuh balik selimut","terjemahkan id ke en: dpr the realkan id ke en: dpr"
"simpul jabat indonesia eksekutifnyalegislatifnya yudikatif libat korupsi langsung langsung yg bersih tinggal jadi lingkar setan ini hasil ajar roh korup ajar pikir deh","terjemahkan id ke en: simpul jabat indonesiakan id ke en: simpul "
"inda gila kare hukum lsh","aja sih."
"mari hibur doa quot lolos hukum dunia hukum akhirat maha adil","mari hibur doa quot lolos hukum dunia hukum dunia hukum dunia hukum dunia hukum dunia"
"manalla is gelap haryanya baya","aja sih..."
"ayo revolusi","ayo revolusi ayo revolusi ayo revolusi ayo revolusi ayo"
"negara konoho konon nya udah darah daging korupsi merdeka","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"nyata proklamasi merdeka 1945 alih jajah belanda jajah jabat lokal","terjemahkan id ke en: nyata proklamasi merdeka 1945 terjemahkan id ke en:"
"kalaw kt udah jenuh laku jabat kalaw milu udah diam rumah anggota dpr mpr pro aktip cari suara","terjemahkan id ke en:kan id ke en:kan id ke en:"
